cluster,distinct_cultures,distinct_families,distinct_regions,families_percentile_vs_random,regions_percentile_vs_random
539,1,1,1,56.5,56.5
540,2,2,2,38.5,38.0
541,2,1,2,20.5,68.75
542,1,1,1,19.5,21.25
543,1,1,1,56.0,56.0
544,1,0,0,6.5,6.5
545,1,1,1,55.0,55.0
546,1,0,0,1.25,1.25
547,1,1,1,18.75,19.75
548,1,1,1,57.0,57.0
549,1,1,1,54.75,54.75
550,2,1,1,6.25,6.0
551,1,0,0,0.5,0.5
552,1,0,0,4.75,4.75
553,2,2,2,39.25,35.5
554,1,1,1,57.0,57.0
555,1,1,1,56.25,56.25
556,2,1,2,1.75,21.0
557,1,1,1,58.75,58.75
558,2,1,1,6.0,5.75
559,1,1,1,56.25,56.25
560,1,1,1,55.25,55.25
561,1,1,1,57.0,57.0
562,2,1,1,1.25,2.5
563,1,1,1,19.25,19.5
564,1,1,1,56.5,56.5
565,1,1,1,55.0,55.0
566,1,1,1,55.25,55.25
567,1,1,1,56.0,56.0
568,1,1,1,56.0,56.0
569,1,1,1,58.5,58.5
570,2,1,1,19.25,21.0
571,1,1,1,55.75,55.75
572,1,1,1,57.5,57.5
573,1,1,1,56.5,56.5
574,1,0,0,0.75,0.75
575,1,0,0,0.5,0.5
576,1,0,0,1.0,1.0
577,1,0,0,4.0,4.0
578,1,1,1,57.75,57.75
579,1,1,1,57.25,57.25
580,1,1,1,54.75,54.75
581,1,1,1,55.75,55.75
582,1,1,1,56.25,56.25
583,1,1,1,55.75,55.75
584,1,1,1,21.5,21.75
585,1,1,1,56.0,56.0
586,1,1,1,55.75,55.75
587,1,1,1,55.5,55.5
588,1,0,0,1.0,1.0
589,1,1,1,54.25,54.25
590,1,1,1,56.5,56.5
591,1,1,1,55.75,55.75
592,3,3,3,39.25,42.5
593,1,1,1,56.25,56.25
594,1,1,1,57.0,57.0
595,1,1,1,57.5,57.5
596,3,1,2,6.25,36.75
597,3,3,3,84.25,84.5
598,4,3,3,40.5,41.0
599,2,1,1,23.25,21.75
600,1,1,1,56.75,56.75
601,1,1,1,58.0,58.0
602,1,1,1,55.5,55.5
603,1,1,1,5.75,6.75
604,1,1,1,57.5,57.5
605,1,1,1,55.25,55.25
606,2,1,1,19.25,20.0
607,1,1,1,56.0,56.0
608,1,1,1,55.25,55.25
609,1,1,1,57.25,57.25
610,1,1,1,57.75,57.75
611,1,1,1,56.75,56.75
612,2,2,2,36.5,36.25
613,1,1,1,22.75,22.5
614,1,1,1,56.25,56.25
615,1,1,1,20.25,21.25
616,1,1,1,55.75,55.75
617,2,1,1,2.25,2.25
618,3,3,3,83.25,82.0
619,1,1,1,56.5,56.5
620,1,0,0,5.25,5.25
621,1,1,1,56.25,56.25
622,1,1,1,26.0,25.5
623,1,0,0,6.5,6.5
624,1,1,1,55.0,55.0
625,2,1,1,2.25,1.75
626,2,1,1,6.75,6.25
627,1,1,1,21.0,21.5
628,1,1,1,58.5,58.5
629,1,1,1,55.5,55.5
630,1,0,0,6.0,6.0
631,1,1,1,57.75,57.75
632,1,1,1,19.75,20.25
633,3,2,3,10.5,42.5
634,1,1,1,55.75,55.75
635,1,1,1,55.0,55.0
636,1,1,1,57.0,57.0
637,1,1,1,55.5,55.5
638,2,1,1,5.5,5.0
639,1,1,1,57.5,57.5
640,2,1,1,1.75,1.5
641,2,1,2,5.0,39.25
642,1,1,1,17.25,17.75
643,1,1,1,19.0,20.0
644,2,2,2,35.5,35.75
645,2,1,1,4.5,5.25
646,3,1,2,2.5,21.5
647,1,1,1,20.25,20.0
648,3,2,3,10.25,40.5
649,2,1,1,5.0,5.75
650,1,1,1,57.0,57.0
651,2,1,1,5.75,5.75
652,1,1,1,57.25,57.25
653,1,0,0,4.5,4.5
654,1,1,1,54.75,54.75
655,1,1,1,58.25,58.25
656,1,0,0,7.0,7.0
657,1,0,0,6.0,6.0
658,1,1,1,55.25,55.25
659,1,1,1,55.0,55.0
660,1,1,1,56.0,56.0
661,1,0,0,6.75,6.75
662,1,1,1,56.5,56.5
663,1,1,1,59.25,59.25
664,1,1,1,60.0,60.0
665,1,1,1,56.75,56.75
666,1,1,1,57.75,57.75
667,1,1,1,56.25,56.25
668,1,1,1,55.5,55.5
669,2,1,1,2.25,2.5
670,1,0,0,5.25,5.25
671,1,1,1,59.25,59.25
672,1,1,1,58.0,58.0
673,1,1,1,55.0,55.0
674,1,1,1,54.75,54.75
675,1,1,1,21.25,19.75
676,1,0,0,1.0,1.0
677,1,0,0,6.75,6.75
678,1,1,1,56.75,56.75
679,3,1,2,1.0,8.75
680,1,1,1,17.0,18.75
681,3,3,3,43.0,43.0
682,1,1,1,19.5,20.0
683,2,1,1,9.0,8.25
684,1,1,1,55.5,55.5
685,1,1,1,16.25,18.25
686,1,1,1,58.75,58.75
687,1,1,1,56.25,56.25
688,1,1,1,55.75,55.75
689,1,0,0,7.5,7.5
690,1,0,0,7.75,7.75
691,1,1,1,55.0,55.0
692,3,2,2,10.75,9.5
693,1,1,1,20.5,20.5
694,1,1,1,57.0,57.0
695,1,1,1,57.25,57.25
696,2,1,1,18.5,17.0
697,1,0,0,1.0,1.0
698,1,1,1,17.75,17.0
699,2,1,2,6.75,41.75
700,1,1,1,54.75,54.75
701,1,1,1,57.75,57.75
702,1,1,1,57.0,57.0
703,1,0,0,7.25,7.25
704,2,1,1,20.75,20.25
705,1,1,1,57.5,57.5
706,1,1,1,55.75,55.75
707,1,1,1,54.5,54.5
708,1,0,0,0.75,0.75
709,1,1,1,56.0,56.0
710,1,0,0,7.75,7.75
711,1,1,1,56.25,56.25
712,1,1,1,58.25,58.25
713,1,1,1,57.0,57.0
714,1,0,0,6.25,6.25
715,1,1,1,57.0,57.0
716,1,1,1,56.25,56.25
717,1,1,1,55.0,55.0
718,1,1,1,58.25,58.25
719,1,1,1,53.25,53.25
720,1,1,1,56.25,56.25
721,1,1,1,57.0,57.0
722,1,1,1,56.0,56.0
723,3,1,2,0.5,7.75
724,1,1,1,56.75,56.75
725,2,1,1,6.25,7.5
726,1,0,0,0.75,0.75
727,1,0,0,5.5,5.5
728,1,0,0,0.5,0.5
729,1,1,1,57.25,57.25
730,2,1,1,1.5,2.0
731,1,1,1,58.25,58.25
732,1,1,1,59.25,59.25
733,1,1,1,58.25,58.25
734,1,1,1,20.0,20.25
735,1,1,1,55.75,55.75
736,1,1,1,16.75,16.5
