cluster,distinct_cultures,distinct_families,distinct_regions,families_percentile_vs_random,regions_percentile_vs_random
1166,1,1,1,58.75,58.75
1167,1,1,1,55.25,55.25
1168,1,1,1,56.75,56.75
1169,1,1,1,54.5,54.5
1170,1,0,0,5.75,5.75
1171,1,0,0,1.25,1.25
1172,1,0,0,6.5,6.5
1173,1,1,1,56.5,56.5
1174,1,1,1,57.25,57.25
1175,1,0,0,0.5,0.5
1176,1,0,0,5.0,5.0
1177,1,0,0,1.5,1.5
1178,1,0,0,7.5,7.5
1179,1,1,1,56.75,56.75
1180,2,2,2,71.5,72.25
1181,1,1,1,56.25,56.25
1182,1,1,1,56.75,56.75
1183,1,0,0,9.5,9.5
1184,1,0,0,5.0,5.0
1185,1,0,0,1.0,1.0
1186,1,1,1,55.75,55.75
1187,1,1,1,56.75,56.75
1188,1,0,0,0.75,0.75
1189,1,1,1,56.75,56.75
1190,1,1,1,54.5,54.5
1191,1,1,1,55.75,55.75
1192,1,1,1,20.5,20.0
1193,1,1,1,57.25,57.25
1194,1,1,1,54.25,54.25
1195,2,2,2,42.0,41.25
1196,2,1,1,5.25,4.25
1197,1,0,0,0.75,0.75
1198,1,1,1,57.75,57.75
1199,1,1,1,57.0,57.0
1200,1,0,0,1.75,1.75
1201,2,1,1,6.75,6.75
1202,1,1,1,19.25,20.5
1203,1,1,1,56.25,56.25
1204,2,1,2,3.25,22.25
1205,1,0,0,8.25,8.25
1206,1,0,0,5.25,5.25
1207,1,0,0,1.0,1.0
1208,1,1,1,18.0,18.25
1209,2,1,1,1.75,1.0
1210,1,1,1,57.25,57.25
1211,1,1,1,58.25,58.25
1212,1,1,1,56.0,56.0
1213,1,1,1,57.0,57.0
1214,1,1,1,58.5,58.5
1215,1,0,0,0.75,0.75
1216,1,0,0,5.5,5.5
1217,1,0,0,0.0,0.0
1218,1,1,1,57.0,57.0
1219,1,1,1,56.25,56.25
1220,1,0,0,7.5,7.5
1221,2,1,2,4.5,37.75
1222,1,0,0,6.25,6.25
1223,1,1,1,56.75,56.75
1224,1,1,1,20.75,21.0
1225,1,1,1,59.25,59.25
1226,1,1,1,57.5,57.5
1227,1,1,1,56.25,56.25
1228,1,0,0,0.75,0.75
1229,1,0,0,6.5,6.5
1230,2,2,2,37.75,37.75
1231,1,1,1,57.25,57.25
1232,1,1,1,56.75,56.75
1233,1,0,0,5.5,5.5
1234,2,1,1,19.5,19.5
1235,1,1,1,55.75,55.75
1236,3,3,3,83.25,84.0
1237,1,1,1,57.25,57.25
1238,1,1,1,57.25,57.25
1239,1,0,0,0.5,0.5
1240,1,0,0,1.25,1.25
1241,1,1,1,55.75,55.75
1242,3,2,3,11.25,43.75
1243,1,1,1,20.0,19.75
1244,1,1,1,56.0,56.0
1245,1,1,1,55.25,55.25
1246,1,1,1,57.25,57.25
1247,1,0,0,1.5,1.5
1248,1,1,1,55.75,55.75
1249,1,1,1,57.5,57.5
1250,1,1,1,54.0,54.0
1251,1,1,1,57.0,57.0
1252,1,1,1,56.25,56.25
1253,1,1,1,56.0,56.0
1254,1,1,1,56.75,56.75
1255,1,1,1,55.75,55.75
1256,1,1,1,53.5,53.5
1257,1,1,1,57.5,57.5
1258,1,1,1,53.5,53.5
1259,1,0,0,7.25,7.25
1260,1,1,1,57.0,57.0
1261,1,1,1,57.5,57.5
1262,1,0,0,1.5,1.5
1263,1,1,1,57.5,57.5
1264,1,0,0,5.0,5.0
1265,1,0,0,7.5,7.5
1266,1,1,1,16.25,17.5
1267,1,1,1,56.75,56.75
1268,1,1,1,57.75,57.75
1269,2,1,2,23.75,71.0
1270,1,1,1,55.5,55.5
1271,1,1,1,55.75,55.75
1272,1,0,0,6.75,6.75
1273,1,1,1,56.5,56.5
1274,2,1,1,2.75,3.25
1275,5,3,4,6.0,27.0
1276,1,1,1,57.75,57.75
1277,1,1,1,56.75,56.75
1278,1,1,1,56.5,56.5
1279,1,1,1,57.75,57.75
1280,3,1,2,1.0,10.0
1281,1,0,0,6.25,6.25
1282,1,1,1,60.0,60.0
1283,1,1,1,55.0,55.0
1284,1,0,0,3.5,3.5
1285,3,2,2,8.25,9.5
1286,1,1,1,55.75,55.75
1287,1,1,1,20.5,22.25
1288,1,0,0,0.0,0.0
1289,1,1,1,56.75,56.75
1290,1,1,1,57.0,57.0
1291,1,1,1,56.5,56.5
1292,1,1,1,56.0,56.0
1293,1,1,1,58.75,58.75
1294,1,1,1,57.25,57.25
1295,1,1,1,58.0,58.0
1296,1,1,1,55.75,55.75
1297,1,1,1,57.0,57.0
1298,1,1,1,55.25,55.25
1299,4,3,2,60.25,19.0
1300,1,1,1,57.75,57.75
1301,1,0,0,1.0,1.0
1302,1,0,0,0.75,0.75
1303,2,1,1,6.75,6.5
1304,1,1,1,57.25,57.25
1305,1,1,1,23.0,22.75
1306,1,1,1,57.25,57.25
1307,1,0,0,8.5,8.5
1308,1,1,1,55.5,55.5
1309,1,0,0,0.75,0.75
1310,1,1,1,17.25,17.75
1311,1,1,1,56.5,56.5
1312,1,1,1,55.0,55.0
1313,1,0,0,1.5,1.5
1314,1,1,1,58.0,58.0
1315,1,1,1,57.25,57.25
1316,3,1,2,2.0,19.25
1317,2,2,2,39.25,42.25
1318,1,1,1,55.25,55.25
1319,1,1,1,56.5,56.5
1320,1,1,1,56.0,56.0
1321,1,1,1,55.5,55.5
1322,1,1,1,56.75,56.75
1323,1,1,1,55.25,55.25
1324,1,1,1,18.25,18.0
1325,1,0,0,0.0,0.0
1326,1,1,1,58.5,58.5
1327,1,1,1,56.25,56.25
1328,1,1,1,22.0,22.0
1329,3,2,3,39.25,84.75
1330,1,0,0,1.25,1.25
1331,1,1,1,55.0,55.0
1332,1,0,0,5.0,5.0
1333,1,1,1,56.25,56.25
1334,1,1,1,22.25,22.0
1335,1,0,0,1.25,1.25
1336,3,2,2,18.0,18.5
1337,1,1,1,57.25,57.25
1338,1,1,1,56.0,56.0
1339,1,1,1,57.5,57.5
1340,1,1,1,57.0,57.0
1341,1,1,1,55.75,55.75
1342,1,1,1,56.75,56.75
1343,1,1,1,55.0,55.0
1344,1,1,1,18.75,18.25
1345,1,1,1,56.5,56.5
1346,1,1,1,20.75,19.5
1347,1,0,0,1.5,1.5
1348,1,1,1,58.25,58.25
1349,2,1,1,5.75,4.5
1350,1,1,1,58.0,58.0
1351,1,1,1,57.75,57.75
1352,1,1,1,57.5,57.5
1353,1,0,0,1.0,1.0
1354,1,1,1,55.0,55.0
1355,1,0,0,7.5,7.5
1356,1,1,1,57.5,57.5
1357,1,1,1,56.5,56.5
1358,1,1,1,55.75,55.75
1359,1,1,1,54.25,54.25
1360,1,0,0,7.75,7.75
1361,2,2,2,18.75,17.25
1362,1,0,0,5.75,5.75
1363,1,0,0,8.0,8.0
1364,1,1,1,54.0,54.0
1365,1,1,1,55.25,55.25
1366,1,1,1,57.0,57.0
1367,1,1,1,55.75,55.75
1368,1,1,1,55.0,55.0
1369,1,0,0,6.75,6.75
1370,1,1,1,56.0,56.0
1371,1,1,1,55.25,55.25
1372,1,1,1,55.25,55.25
1373,1,1,1,19.0,19.75
1374,1,0,0,5.0,5.0
1375,1,1,1,55.75,55.75
1376,1,1,1,55.5,55.5
1377,1,1,1,56.75,56.75
1378,1,1,1,57.0,57.0
1379,2,1,1,23.5,23.25
1380,1,1,1,56.75,56.75
1381,1,1,1,54.75,54.75
1382,1,1,1,56.0,56.0
1383,1,0,0,1.25,1.25
1384,1,1,1,55.0,55.0
1385,1,1,1,56.5,56.5
1386,1,1,1,56.25,56.25
1387,1,0,0,1.0,1.0
1388,1,1,1,57.0,57.0
1389,1,1,1,55.25,55.25
1390,1,0,0,6.25,6.25
1391,1,0,0,5.75,5.75
1392,1,1,1,54.75,54.75
1393,1,1,1,55.75,55.75
1394,2,1,1,21.5,21.5
1395,1,1,1,56.25,56.25
1396,1,1,1,56.0,56.0
1397,1,1,1,57.75,57.75
1398,2,2,2,42.5,41.0
1399,2,1,1,17.75,16.5
1400,1,1,1,55.0,55.0
1401,1,0,0,1.25,1.25
1402,1,1,1,55.75,55.75
1403,1,1,1,55.5,55.5
1404,1,1,1,56.75,56.75
1405,1,0,0,1.25,1.25
1406,1,1,1,55.75,55.75
1407,1,1,1,56.75,56.75
1408,1,1,1,55.25,55.25
1409,1,1,1,56.75,56.75
1410,2,1,1,20.0,21.0
1411,1,1,1,57.25,57.25
1412,1,1,1,54.5,54.5
1413,1,1,1,54.5,54.5
1414,1,1,1,57.25,57.25
1415,1,1,1,55.5,55.5
1416,1,1,1,55.5,55.5
1417,1,1,1,54.5,54.5
1418,1,1,1,57.75,57.75
1419,1,1,1,56.75,56.75
1420,1,1,1,57.5,57.5
1421,1,1,1,54.0,54.0
1422,1,1,1,56.0,56.0
1423,1,0,0,0.75,0.75
1424,1,1,1,60.5,60.5
1425,1,1,1,58.25,58.25
1426,1,1,1,56.5,56.5
1427,1,1,1,56.25,56.25
1428,1,1,1,55.0,55.0
1429,1,1,1,56.25,56.25
1430,1,0,0,0.75,0.75
1431,1,1,1,56.75,56.75
1432,1,1,1,57.5,57.5
1433,1,1,1,60.25,60.25
1434,1,1,1,22.0,21.5
1435,1,1,1,57.25,57.25
1436,3,2,2,20.25,19.0
1437,1,1,1,56.25,56.25
1438,1,0,0,0.5,0.5
1439,1,1,1,55.75,55.75
1440,1,1,1,57.5,57.5
1441,1,0,0,1.25,1.25
1442,1,1,1,56.75,56.75
1443,1,1,1,56.25,56.25
1444,1,1,1,56.25,56.25
1445,1,0,0,1.25,1.25
1446,2,1,1,22.25,21.25
1447,2,2,2,36.75,38.5
1448,1,1,1,56.5,56.5
1449,1,0,0,1.25,1.25
1450,1,1,1,57.75,57.75
1451,1,0,0,6.75,6.75
1452,1,1,1,55.25,55.25
1453,1,0,0,1.75,1.75
1454,1,1,1,18.75,18.0
1455,1,0,0,8.0,8.0
1456,2,1,2,19.75,69.5
1457,1,0,0,5.0,5.0
1458,1,1,1,16.5,18.0
1459,1,0,0,6.25,6.25
1460,1,0,0,7.0,7.0
1461,1,1,1,54.0,54.0
1462,1,0,0,1.25,1.25
1463,1,1,1,56.75,56.75
1464,1,0,0,6.0,6.0
1465,1,1,1,56.25,56.25
1466,1,1,1,18.25,18.5
1467,1,1,1,57.0,57.0
1468,1,1,1,55.25,55.25
1469,1,1,1,56.25,56.25
1470,1,1,1,57.0,57.0
1471,1,1,1,56.5,56.5
1472,1,1,1,55.75,55.75
1473,1,1,1,55.0,55.0
1474,1,1,1,57.5,57.5
1475,1,1,1,56.0,56.0
1476,1,1,1,55.25,55.25
1477,1,1,1,55.75,55.75
1478,1,1,1,58.0,58.0
1479,1,1,1,55.75,55.75
1480,1,1,1,55.25,55.25
1481,1,1,1,55.5,55.5
1482,1,1,1,56.0,56.0
1483,1,1,1,56.25,56.25
1484,1,1,1,58.0,58.0
1485,1,1,1,56.5,56.5
1486,1,1,1,57.75,57.75
1487,1,1,1,58.75,58.75
1488,1,1,1,53.5,53.5
1489,1,0,0,7.0,7.0
1490,1,1,1,57.0,57.0
1491,1,1,1,55.5,55.5
1492,1,1,1,54.5,54.5
1493,1,1,1,58.0,58.0
1494,1,1,1,56.25,56.25
1495,1,1,1,56.25,56.25
1496,1,1,1,20.0,19.0
1497,1,1,1,55.0,55.0
1498,1,1,1,57.0,57.0
1499,1,1,1,56.25,56.25
1500,1,1,1,55.75,55.75
1501,1,1,1,54.5,54.5
1502,1,1,1,58.25,58.25
1503,1,1,1,55.25,55.25
1504,1,1,1,56.25,56.25
1505,1,1,1,57.25,57.25
1506,1,1,1,57.25,57.25
1507,1,1,1,56.25,56.25
1508,1,1,1,58.5,58.5
1509,1,1,1,57.75,57.75
1510,1,1,1,56.25,56.25
1511,1,1,1,56.0,56.0
1512,2,1,1,3.0,3.25
1513,1,1,1,56.75,56.75
1514,1,1,1,56.25,56.25
1515,1,1,1,55.5,55.5
1516,1,0,0,6.0,6.0
1517,1,1,1,56.0,56.0
1518,1,1,1,57.5,57.5
1519,1,1,1,57.0,57.0
1520,1,1,1,59.75,59.75
1521,1,1,1,57.5,57.5
1522,1,0,0,7.25,7.25
1523,1,1,1,19.75,19.5
1524,1,1,1,23.25,22.5
1525,1,1,1,55.5,55.5
1526,1,0,0,6.0,6.0
1527,1,1,1,57.25,57.25
1528,1,1,1,57.5,57.5
1529,1,1,1,57.0,57.0
1530,1,1,1,58.75,58.75
1531,1,1,1,56.5,56.5
1532,1,1,1,56.25,56.25
1533,1,1,1,59.0,59.0
1534,1,1,1,55.5,55.5
1535,1,1,1,56.75,56.75
1536,1,1,1,56.25,56.25
1537,1,0,0,6.5,6.5
1538,1,1,1,58.0,58.0
1539,1,1,1,56.75,56.75
1540,1,1,1,57.25,57.25
1541,1,1,1,54.75,54.75
1542,1,1,1,57.75,57.75
1543,2,2,2,67.5,66.5
1544,1,1,1,56.0,56.0
1545,1,1,1,57.0,57.0
1546,1,1,1,57.0,57.0
1547,1,1,1,56.75,56.75
1548,1,1,1,54.25,54.25
1549,2,2,2,69.0,68.5
1550,1,1,1,57.0,57.0
1551,1,1,1,58.0,58.0
1552,1,0,0,0.75,0.75
1553,3,2,3,10.25,42.25
1554,2,1,1,19.25,20.5
1555,2,1,1,1.25,1.25
1556,1,1,1,56.5,56.5
1557,1,1,1,58.0,58.0
1558,2,1,1,18.75,19.25
1559,1,1,1,55.25,55.25
1560,1,1,1,22.5,21.0
1561,2,1,2,20.25,69.75
1562,1,0,0,1.0,1.0
1563,1,1,1,56.25,56.25
1564,1,1,1,56.5,56.5
1565,1,1,1,54.75,54.75
1566,2,1,2,21.25,68.75
1567,1,0,0,5.5,5.5
1568,1,1,1,56.0,56.0
1569,1,1,1,54.5,54.5
1570,1,1,1,57.5,57.5
1571,1,1,1,57.75,57.75
1572,1,1,1,58.75,58.75
1573,1,1,1,23.0,21.5
1574,2,2,2,36.25,36.25
1575,1,0,0,7.5,7.5
1576,1,1,1,56.5,56.5
1577,1,1,1,56.0,56.0
1578,1,0,0,6.25,6.25
1579,1,1,1,56.0,56.0
1580,1,0,0,8.5,8.5
1581,1,1,1,56.75,56.75
1582,1,1,1,57.0,57.0
1583,1,1,1,56.0,56.0
1584,1,1,1,55.5,55.5
1585,1,1,1,57.25,57.25
1586,1,1,1,21.25,22.0
1587,1,1,1,54.5,54.5
1588,1,0,0,6.75,6.75
1589,1,1,1,19.5,19.25
1590,1,1,1,18.0,18.25
1591,1,1,1,55.25,55.25
1592,1,1,1,57.25,57.25
1593,1,1,1,55.5,55.5
1594,1,1,1,56.75,56.75
1595,2,1,1,19.25,18.5
1596,2,2,2,70.5,70.75
1597,1,1,1,56.75,56.75
1598,1,1,1,56.75,56.75
1599,1,1,1,57.25,57.25
1600,1,1,1,55.75,55.75
1601,1,1,1,58.0,58.0
1602,1,1,1,55.75,55.75
1603,1,1,1,56.75,56.75
1604,1,1,1,57.25,57.25
1605,1,1,1,55.0,55.0
1606,1,1,1,55.25,55.25
1607,1,1,1,55.0,55.0
1608,1,1,1,57.5,57.5
1609,1,1,1,57.5,57.5
1610,1,1,1,56.5,56.5
1611,1,0,0,7.25,7.25
1612,1,1,1,57.25,57.25
1613,1,1,1,57.0,57.0
1614,1,0,0,8.0,8.0
1615,1,0,0,7.5,7.5
1616,1,1,1,22.0,20.75
1617,1,0,0,0.0,0.0
1618,1,1,1,58.5,58.5
1619,1,0,0,5.75,5.75
1620,1,1,1,54.5,54.5
1621,1,1,1,55.0,55.0
1622,1,1,1,57.5,57.5
1623,1,1,1,57.25,57.25
1624,1,1,1,55.25,55.25
1625,1,1,1,58.0,58.0
1626,1,1,1,56.0,56.0
1627,1,1,1,56.0,56.0
1628,1,1,1,54.75,54.75
1629,1,1,1,56.0,56.0
1630,1,0,0,0.75,0.75
1631,1,1,1,57.5,57.5
1632,1,1,1,55.75,55.75
1633,1,1,1,55.75,55.75
1634,1,1,1,57.5,57.5
1635,1,1,1,56.25,56.25
1636,1,1,1,59.0,59.0
1637,2,1,1,17.75,17.0
1638,1,0,0,6.75,6.75
1639,1,1,1,55.75,55.75
1640,1,1,1,56.5,56.5
1641,3,1,2,7.0,40.5
1642,1,0,0,8.0,8.0
1643,1,1,1,56.0,56.0
1644,1,1,1,57.75,57.75
1645,1,0,0,6.25,6.25
1646,1,1,1,55.25,55.25
1647,1,1,1,55.75,55.75
1648,1,1,1,58.75,58.75
1649,1,1,1,55.75,55.75
1650,1,0,0,8.75,8.75
1651,1,0,0,0.75,0.75
1652,1,0,0,5.25,5.25
1653,1,1,1,58.5,58.5
1654,1,1,1,20.75,20.25
1655,1,1,1,58.0,58.0
1656,1,1,1,57.75,57.75
1657,1,1,1,58.5,58.5
1658,1,1,1,55.25,55.25
1659,2,2,2,38.25,39.0
1660,1,1,1,56.5,56.5
1661,1,0,0,1.25,1.25
1662,1,1,1,56.25,56.25
1663,1,1,1,54.0,54.0
1664,1,1,1,56.5,56.5
1665,1,0,0,7.75,7.75
1666,1,1,1,56.5,56.5
1667,1,1,1,57.0,57.0
1668,1,0,0,8.5,8.5
1669,1,1,1,58.25,58.25
1670,1,1,1,58.0,58.0
1671,1,1,1,56.0,56.0
1672,1,0,0,9.25,9.25
1673,2,1,1,7.25,6.5
1674,1,1,1,55.5,55.5
1675,1,1,1,58.0,58.0
1676,3,2,2,21.5,22.5
1677,3,2,2,16.5,18.25
1678,1,1,1,54.75,54.75
1679,1,0,0,5.75,5.75
1680,1,1,1,56.5,56.5
1681,1,1,1,55.25,55.25
1682,1,1,1,57.5,57.5
1683,1,0,0,6.25,6.25
1684,1,1,1,55.25,55.25
1685,1,1,1,56.75,56.75
1686,1,1,1,18.5,18.25
1687,1,1,1,19.25,19.5
1688,1,1,1,21.5,22.75
1689,1,1,1,57.0,57.0
1690,1,1,1,23.25,23.0
1691,1,1,1,57.0,57.0
1692,1,1,1,19.75,19.25
1693,1,1,1,55.5,55.5
1694,1,1,1,57.75,57.75
1695,1,1,1,56.75,56.75
1696,1,0,0,1.5,1.5
1697,1,1,1,56.25,56.25
1698,1,0,0,4.75,4.75
1699,1,1,1,55.0,55.0
1700,1,1,1,55.25,55.25
1701,1,1,1,56.75,56.75
1702,1,1,1,57.5,57.5
1703,1,1,1,56.25,56.25
1704,1,1,1,58.0,58.0
1705,1,1,1,57.25,57.25
1706,2,1,1,18.75,19.0
1707,1,1,1,55.5,55.5
1708,1,1,1,55.0,55.0
1709,1,0,0,5.25,5.25
1710,1,1,1,55.25,55.25
1711,1,1,1,55.5,55.5
1712,1,0,0,1.5,1.5
1713,1,1,1,19.25,20.75
1714,1,1,1,54.5,54.5
1715,3,2,2,21.0,20.0
1716,1,1,1,56.0,56.0
1717,1,1,1,54.75,54.75
1718,1,1,1,56.75,56.75
1719,1,1,1,56.0,56.0
1720,2,1,1,19.25,19.5
1721,2,1,1,2.75,2.5
1722,1,1,1,58.25,58.25
1723,1,1,1,19.75,20.0
1724,1,1,1,56.25,56.25
1725,1,1,1,56.0,56.0
1726,1,1,1,59.75,59.75
1727,1,1,1,57.0,57.0
1728,1,1,1,57.0,57.0
1729,1,1,1,57.5,57.5
1730,1,1,1,60.0,60.0
1731,1,1,1,57.0,57.0
1732,1,1,1,21.25,20.5
1733,1,0,0,1.25,1.25
1734,1,0,0,6.5,6.5
1735,1,0,0,7.5,7.5
1736,1,1,1,24.25,23.5
1737,2,1,2,2.0,20.5
1738,1,0,0,0.75,0.75
1739,1,1,1,55.25,55.25
1740,2,1,2,2.0,18.25
1741,1,1,1,57.0,57.0
1742,1,1,1,58.25,58.25
1743,2,2,2,70.25,69.0
1744,1,1,1,57.5,57.5
1745,1,1,1,57.75,57.75
1746,2,2,2,35.75,34.25
1747,1,0,0,4.0,4.0
1748,1,1,1,56.0,56.0
1749,1,1,1,55.75,55.75
1750,1,1,1,58.25,58.25
1751,1,0,0,1.75,1.75
1752,1,1,1,56.25,56.25
1753,1,0,0,8.5,8.5
1754,1,1,1,56.75,56.75
1755,1,1,1,57.5,57.5
1756,1,0,0,0.0,0.0
1757,2,1,2,1.25,17.25
1758,1,1,1,54.75,54.75
1759,2,1,1,6.5,7.25
1760,1,1,1,57.5,57.5
1761,2,1,1,1.0,1.75
1762,1,1,1,20.0,20.5
1763,1,1,1,57.0,57.0
1764,1,1,1,55.5,55.5
1765,1,1,1,58.0,58.0
1766,1,0,0,1.25,1.25
1767,1,1,1,56.0,56.0
1768,3,3,3,86.5,86.0
1769,1,1,1,55.0,55.0
1770,2,1,1,20.25,21.75
1771,4,2,3,6.5,30.5
1772,1,1,1,55.75,55.75
1773,1,1,1,54.75,54.75
1774,1,1,1,58.75,58.75
1775,1,1,1,57.25,57.25
1776,1,0,0,7.75,7.75
1777,1,1,1,56.5,56.5
1778,1,1,1,56.5,56.5
1779,1,1,1,57.25,57.25
1780,1,1,1,56.0,56.0
1781,1,1,1,55.75,55.75
1782,1,0,0,5.5,5.5
1783,1,1,1,57.25,57.25
1784,1,1,1,55.5,55.5
1785,1,0,0,5.25,5.25
1786,1,1,1,58.25,58.25
1787,1,1,1,58.25,58.25
1788,1,1,1,18.5,19.5
1789,1,1,1,56.25,56.25
1790,1,0,0,6.75,6.75
1791,1,0,0,1.75,1.75
1792,1,1,1,56.5,56.5
1793,1,1,1,56.75,56.75
1794,1,1,1,57.0,57.0
1795,1,1,1,56.0,56.0
1796,1,1,1,58.0,58.0
1797,1,1,1,56.5,56.5
1798,1,0,0,1.0,1.0
1799,1,1,1,55.0,55.0
1800,1,1,1,18.75,20.5
1801,1,1,1,55.5,55.5
1802,1,1,1,56.25,56.25
1803,1,1,1,57.25,57.25
1804,1,0,0,5.75,5.75
1805,1,0,0,6.25,6.25
1806,1,0,0,5.25,5.25
1807,1,1,1,19.0,18.75
1808,1,1,1,17.75,17.5
1809,1,1,1,56.75,56.75
1810,1,1,1,58.5,58.5
1811,1,1,1,58.0,58.0
1812,1,0,0,6.0,6.0
1813,1,1,1,57.75,57.75
1814,1,1,1,54.0,54.0
1815,1,1,1,55.0,55.0
1816,1,1,1,55.5,55.5
1817,1,1,1,22.5,22.5
1818,1,1,1,56.0,56.0
1819,1,1,1,55.75,55.75
1820,1,1,1,57.25,57.25
1821,1,1,1,56.25,56.25
1822,1,1,1,55.75,55.75
1823,1,0,0,6.5,6.5
1824,1,1,1,55.75,55.75
1825,1,1,1,56.75,56.75
1826,1,1,1,56.75,56.75
1827,1,1,1,54.5,54.5
1828,1,1,1,57.0,57.0
1829,1,0,0,6.5,6.5
1830,1,0,0,6.75,6.75
1831,1,0,0,5.25,5.25
1832,1,1,1,55.0,55.0
1833,1,1,1,57.0,57.0
1834,1,1,1,57.5,57.5
1835,1,1,1,55.75,55.75
1836,1,1,1,56.25,56.25
1837,1,0,0,5.5,5.5
1838,1,1,1,56.0,56.0
1839,1,0,0,6.25,6.25
1840,1,1,1,58.0,58.0
1841,1,1,1,54.75,54.75
1842,1,1,1,57.75,57.75
1843,1,0,0,5.5,5.5
1844,1,1,1,55.5,55.5
1845,1,1,1,55.25,55.25
1846,1,1,1,57.0,57.0
1847,1,1,1,59.75,59.75
1848,1,1,1,58.25,58.25
1849,1,1,1,57.75,57.75
1850,1,1,1,56.0,56.0
1851,1,1,1,58.5,58.5
1852,1,1,1,55.5,55.5
1853,1,1,1,56.5,56.5
1854,1,1,1,56.25,56.25
1855,1,0,0,5.75,5.75
1856,1,0,0,5.5,5.5
1857,1,1,1,53.0,53.0
1858,1,1,1,56.5,56.5
1859,1,1,1,58.75,58.75
1860,1,1,1,57.5,57.5
1861,1,1,1,55.0,55.0
1862,1,1,1,57.5,57.5
1863,1,0,0,6.5,6.5
1864,1,1,1,54.75,54.75
1865,1,1,1,56.0,56.0
1866,1,1,1,56.75,56.75
1867,1,1,1,55.0,55.0
1868,1,1,1,57.25,57.25
1869,1,1,1,56.5,56.5
1870,1,1,1,58.75,58.75
1871,1,1,1,55.5,55.5
1872,1,1,1,56.0,56.0
1873,1,1,1,55.0,55.0
1874,1,0,0,7.5,7.5
1875,1,0,0,6.25,6.25
1876,1,1,1,56.5,56.5
1877,1,1,1,57.0,57.0
1878,1,1,1,56.75,56.75
1879,1,0,0,6.0,6.0
1880,1,1,1,55.75,55.75
1881,1,0,0,4.25,4.25
1882,4,3,3,61.5,60.75
1883,1,1,1,55.5,55.5
1884,1,1,1,55.5,55.5
1885,1,1,1,55.75,55.75
1886,1,1,1,57.0,57.0
1887,1,1,1,56.25,56.25
1888,1,1,1,56.0,56.0
1889,1,1,1,57.75,57.75
1890,1,0,0,7.75,7.75
1891,1,1,1,56.0,56.0
1892,1,1,1,55.25,55.25
1893,1,0,0,8.25,8.25
1894,1,0,0,5.75,5.75
1895,1,0,0,8.0,8.0
1896,1,1,1,59.0,59.0
1897,1,0,0,1.75,1.75
1898,1,0,0,6.75,6.75
1899,1,0,0,6.0,6.0
1900,2,2,2,36.0,39.25
1901,1,1,1,56.25,56.25
1902,1,1,1,57.0,57.0
1903,1,1,1,55.5,55.5
1904,1,1,1,55.5,55.5
1905,1,0,0,6.25,6.25
1906,1,0,0,7.0,7.0
1907,1,1,1,56.5,56.5
1908,1,1,1,55.5,55.5
1909,1,1,1,55.75,55.75
1910,2,1,2,19.75,71.0
1911,1,0,0,9.0,9.0
1912,1,1,1,57.0,57.0
1913,1,0,0,8.25,8.25
1914,1,1,1,55.75,55.75
1915,1,1,1,56.25,56.25
1916,1,0,0,5.25,5.25
1917,1,1,1,54.0,54.0
1918,1,1,1,58.25,58.25
1919,1,1,1,56.75,56.75
1920,1,1,1,55.0,55.0
1921,1,1,1,58.0,58.0
1922,1,1,1,57.25,57.25
1923,1,1,1,56.25,56.25
1924,1,1,1,54.5,54.5
1925,1,1,1,58.25,58.25
1926,1,0,0,7.0,7.0
1927,1,0,0,7.25,7.25
1928,1,0,0,7.25,7.25
1929,1,0,0,7.0,7.0
1930,1,1,1,56.0,56.0
1931,1,0,0,8.0,8.0
1932,1,0,0,5.25,5.25
1933,1,0,0,8.0,8.0
1934,1,1,1,59.25,59.25
1935,1,1,1,55.25,55.25
1936,1,1,1,56.75,56.75
1937,1,1,1,58.5,58.5
1938,1,1,1,57.75,57.75
1939,1,1,1,57.5,57.5
1940,1,1,1,56.5,56.5
1941,1,1,1,56.0,56.0
1942,1,1,1,56.5,56.5
1943,1,1,1,57.25,57.25
1944,1,1,1,56.5,56.5
1945,1,1,1,58.5,58.5
1946,1,0,0,6.25,6.25
1947,1,1,1,56.25,56.25
1948,1,0,0,6.5,6.5
1949,1,1,1,55.5,55.5
1950,1,1,1,58.25,58.25
1951,1,0,0,7.75,7.75
1952,1,1,1,18.25,19.5
1953,1,1,1,54.75,54.75
1954,6,5,5,88.0,88.0
1955,1,1,1,56.25,56.25
1956,1,0,0,8.25,8.25
1957,1,1,1,57.5,57.5
1958,1,1,1,56.5,56.5
1959,1,0,0,6.0,6.0
1960,1,1,1,57.25,57.25
1961,1,1,1,56.75,56.75
1962,1,1,1,55.0,55.0
1963,1,1,1,56.5,56.5
1964,1,1,1,55.5,55.5
1965,1,0,0,7.0,7.0
1966,1,1,1,56.5,56.5
1967,1,1,1,56.25,56.25
1968,1,1,1,56.25,56.25
1969,1,1,1,54.5,54.5
1970,1,1,1,57.5,57.5
1971,1,1,1,57.5,57.5
1972,1,1,1,57.75,57.75
1973,1,0,0,6.75,6.75
1974,1,1,1,56.75,56.75
1975,1,0,0,5.25,5.25
1976,1,1,1,56.75,56.75
1977,1,1,1,56.25,56.25
1978,1,1,1,56.5,56.5
1979,1,1,1,56.0,56.0
1980,1,1,1,57.0,57.0
1981,1,1,1,55.0,55.0
1982,1,1,1,56.75,56.75
1983,1,1,1,56.5,56.5
1984,1,1,1,55.5,55.5
1985,1,1,1,54.75,54.75
